ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
jasnnine_,Jasmine,1558287201,1075,,,2023-07-11T12:40:18.000Z,false,https://www.instagram.com/p/CujrLUMSf1Y/
muxi821218,江梵熙,885495262,433,,,2023-06-13T13:44:08.000Z,false,https://www.instagram.com/p/CtbsOTexsyX/
menglin4191,林濛濛,4059898070,743,,,2023-06-05T11:04:18.000Z,false,https://www.instagram.com/p/CtHPJuKPelf/
ones.me,萬思米,3144780962,9,285,285,2023-06-04T12:18:27.000Z,false,https://www.instagram.com/p/CtEXHsZMugg/
ones.me,萬思米,3144780962,1,168,168,2023-06-02T15:52:16.000Z,false,https://www.instagram.com/p/Cs_mFg6Oq-E/
callie__0301,小歐本歐✩,6020547409,451,,,2023-05-06T12:48:19.000Z,false,https://www.instagram.com/p/Cr5voR7BuTh/
iii0911,Wenwen chien💕,292706509,-1,,,2023-05-06T12:41:59.000Z,true,https://www.instagram.com/p/Cr5u50BvG8q/
hj_dm1020,戴萌Demo 대모🦊,3500347793,-1,2227,2227,2023-05-05T07:14:25.000Z,false,https://www.instagram.com/p/Cr2jBHIOSCU/
lingling0805,𝓛𝓲𝓷𝓰’𝓼  𝓣𝓻𝓪𝓿𝓮𝓵𝓶𝓪𝓹 💕,294303440,386,,,2023-05-03T12:54:39.000Z,false,https://www.instagram.com/p/CryB-AJBE33/
septemblur,S,382430050,496,,,2023-04-13T13:16:28.000Z,false,https://www.instagram.com/p/Cq-kkWGP02o/
elle_0315,呂艾兒,27916046245,2096,,,2023-03-07T11:49:08.000Z,false,https://www.instagram.com/p/CpfJKRTyi7P/
victoria_327,紫紫食旅愛保養,1602196063,279,1227,1227,2023-02-15T18:26:58.000Z,false,https://www.instagram.com/p/CosVnN9AYtH/
ones.me,萬思米,3144780962,46,,,2023-01-22T05:21:36.000Z,false,https://www.instagram.com/p/CntJ1dNvjp2/
rainsun0302,雨晴,49037470677,2484,,,2023-01-18T11:15:47.000Z,false,https://www.instagram.com/p/CnjfL_XyXHm/
imsonia_510,譚美 𝑺𝒐𝒏𝒊𝒂,104920207,262,,,2023-01-16T06:09:21.000Z,false,https://www.instagram.com/p/Cndyh3WhkpK/
bb151cm,Bubu Huang,1464080201,108,,,2022-12-24T10:38:55.000Z,true,https://www.instagram.com/p/CmjDGF_Sdys/
donuts0118,多娜醬🎀是媽媽🎀,5424059167,117,,,2022-11-26T17:26:20.000Z,false,https://www.instagram.com/p/ClbrdmFvGdI/
elvitravelbag,Elvi❤️ 愛流浪的英文老師🙋🏻‍♀️,4255356816,-1,,,2022-11-22T15:13:08.000Z,false,https://www.instagram.com/p/ClRJChvPuYl/
jen1070502,貞貞 Jen,334200045,-1,,,2022-11-11T15:10:06.000Z,false,https://www.instagram.com/p/Ck0z8q5y7et/
ki000000ki,Sanna 🕊️🐚,699110429,-1,,,2022-11-08T03:40:23.000Z,false,https://www.instagram.com/p/Ckr2oZfyXLs/
queen65,⭐️小Q⭐️紀錄我的吃喝玩樂,159938,-1,,,2022-09-19T08:00:01.000Z,false,https://www.instagram.com/p/CirkmW4PvNP/
w__yuan9,粉嫩唇製造所 ｜台中 台南 高雄 皆可服務,24620370480,14,,,2022-08-18T07:16:59.000Z,false,https://www.instagram.com/p/ChZGPH5Bocz/
dianbopopo,電波POPO彈力蛋白🍒,47622319056,18,589,589,2022-06-14T09:45:47.000Z,false,https://www.instagram.com/p/Cex_jkgh0M9/
dianbopopo,電波POPO彈力蛋白🍒,47622319056,68,,,2022-06-02T03:22:11.000Z,false,https://www.instagram.com/p/CeSaKFYviVy/
lennababe,Lenna(*´∀｀*)レナ,6943375699,1899,,,2022-05-24T11:48:57.000Z,false,https://www.instagram.com/p/Cd8I_0xLwUS/
imyunxi,金秐希,47838219133,-1,,,2022-05-24T10:30:55.000Z,true,https://www.instagram.com/p/Cd8AEQzrrUp/
shir_ley0621,Shirley❤️,36542687530,1095,,,2022-05-12T11:56:20.000Z,false,https://www.instagram.com/p/CddQTcfrncU/
1419mayco0301,🦋瞳瞳兒🦋,8987933530,307,,,2022-05-08T13:36:41.000Z,false,https://www.instagram.com/p/CdTIm3sr0Rw/
agent9na,𝓙𝓸𝓪𝓷𝓷𝓪喬安🎤,5812486735,101,,,2022-05-06T10:39:12.000Z,false,https://www.instagram.com/p/CdNqtKxLf2C/
ladyviola_11,𝐿𝑎𝑑𝑦𝑉𝑖𝑜𝑙𝑎 育兒｜生活｜旅遊｜保養｜美食,1343001569,836,,,2022-04-25T12:14:02.000Z,true,https://www.instagram.com/p/Ccxg0L6LUAC/
ruru_kane,Ruru｜全職媽媽的2.0人生✨,4234063375,-1,,,2022-04-08T09:34:46.000Z,true,https://www.instagram.com/p/CcFdExBLE3R/
un_hn,單單Doris,4204357256,81,,,2022-03-30T04:54:41.000Z,true,https://www.instagram.com/p/Cbtx3ezL6rm/
teresa520056,Teresa 莎兒,41300144536,292,,,2022-03-29T03:20:21.000Z,false,https://www.instagram.com/p/CbrCRt-LLyU/
yura__tzu.tzu,𝓨𝓾𝓻𝓪🪻紫暄｜𝑳𝒊𝒇𝒆𝒔𝒕𝒚𝒍𝒆&𝑻𝒓𝒂𝒗𝒆𝒍,509777441,632,,,2022-03-28T13:03:39.000Z,true,https://www.instagram.com/p/CbpgPBBLInq/
mona.n913,♐️Mona ｜居家運動x穿搭x美妝,491220337,-1,,,2022-04-13T05:16:40.000Z,true,https://www.instagram.com/p/CcR3gvwBkjO/
donuts0118,多娜醬🎀是媽媽🎀,5424059167,93,,,2022-04-09T22:08:00.000Z,false,https://www.instagram.com/p/CcJYEhWB59q/
chi__crystal,🥂虹宇  Crystal🥂,1484428338,-1,,,2022-04-02T09:28:01.000Z,true,https://www.instagram.com/p/Cb1_iHnLLjZ/
xj4.66,潘祿 🦩,1396799406,369,,,2022-03-31T14:41:27.000Z,false,https://www.instagram.com/p/CbxZ0CdvoIY/
doubleswitch_qian,高霈盈-自媒體影響力製造機💫,1399676890,81,,,2022-03-29T17:32:48.000Z,false,https://www.instagram.com/p/Cbsj1RKB33Y/
happychwera2,Ꭵ'ო淳淳 ❤v͎ i͎ t͎ a͎❤,8763814035,265,,,2022-03-29T14:56:57.000Z,false,https://www.instagram.com/p/CbsR_yKrVeI/
julie.wen_1o11,啾里,38724291049,409,,,2022-03-29T13:13:15.000Z,false,https://www.instagram.com/p/CbsF80kDEB4/
vanessa13193,Vanessa,247569973,772,,,2022-03-29T13:06:35.000Z,true,https://www.instagram.com/p/CbsFXZFLsXm/
sasa_shia,夏星紗,5558083737,-1,,,2022-03-29T12:49:56.000Z,true,https://www.instagram.com/p/CbsDdiBJ1dP/
miako.chung,快樂獅子女🦁️,4465641462,450,,,2022-03-29T04:18:52.000Z,false,https://www.instagram.com/p/CbrI-VPpnxi/
shihyan.s,SHL ✨芯妍✨,5544970189,493,,,2022-03-29T02:13:10.000Z,false,https://www.instagram.com/p/Cbq6lqfhS9I/
_ninier_,妮妮｜你聽妮說,1234802429,767,,,2022-03-28T16:48:55.000Z,true,https://www.instagram.com/p/Cbp6A6BJn_a/
venustsai_,小緒 Venus,7604187174,-1,,,2022-03-28T15:10:19.000Z,false,https://www.instagram.com/p/Cbpuu1mvftZ/
mengmeng0731,孟孟Meng,621707471,-1,,,2022-03-28T14:05:24.000Z,false,https://www.instagram.com/p/CbpnTUpLQd3/
